riddle,choice0,choice1,choice2,choice3,choice4,label
"Wheresoever I may be, Every man must follow me; He must go where I may lead, Though it be to change his creed. Though I vary in my size, I am still beneath your eyes; and though you may go astray, I must ever lead the way. Every creature in the land, Has me close at his command, For I lead to things unseen, By my properties so keen. What am I?",nose,forehead,throat,lips,chin,0
Carriage Bottlae Diaper Rattle,daughter,Atlantic,fetus,highway,baby,4
How many days in a week start with the letter T?,three,four,six,eight,five,1
"Use me to get from point A to point B, To bind yourself to another for eternity, When it all goes wrong it's because of me, Houston, we have a problem, technically. What am I?",comma,axle,winch,hitch,hyphen,3
What named itself?,serotonin,comma,hyphen,neurons,brain,4
"A father and son were in a car accident where the father was killed. The ambulance brought the son to the hospital. He needed immediate surgery. In the operating room, a doctor came in and looked at the little boy and said I can't operate on him he is my son. Who is the doctor?",mother,mom,sister,aunt,husband,0
My mother is water and my brother the sky. I am grey when wet but white when dry. What am I?,wol,cloud,sky,sunset,terra,1
I am a bringer and take of life.,sediment,water,ocean,grape,cucumber,1
"""What does ""L8R"" stand for?""",before,eventually,soon,later,sooner,3
When I go to the beach.I am found. When I go in the water I am smooth.What am I?,sand,pants,mud,shoe,rocks,0
"I can be written, I can be spoken, I can be exposed, I can be broken.",news,wisdom,suggestion,skills,headlines,0
"NASA was considering sending canaries into space to study them under zero gravity. The project was scrapped when someone realized that in spite of having sufficient water supplies, they could die of dehydration within a few hours. Why?",squirrel,insects,birds,rabbits,peacock,2
"What weeps without eyes or eyelids, her tears rejoicing sons and fathers; and when she laughs and no tears fall, her laughter saddens all hearts?",terra,wol,cloud,sunset,sky,2
"You walk into a room with a match, a kerosene lamp and a fireplace. Which do you light first?",knockout,Hhh,main event,match,pinfall,3
"Where is the AD before BC, tomorrow before yesterday, and the eight is first?",definitions,thesaurus,oxford,language,dictionary,4
"I am found in a doctor's office. I hang on the wall, usually next to the blood pressure machine. I am black in color with a grey handle. The front is thin like a pen, while the back is akin to the front of a tube TV. I am an instrument, though I'm not of any use in a music band. I shine a light, magnify the surroundings, and am most commonly used in the ears, mouth, throat, eyes, and nose. What am I?",x-ray,xray,stethoscope,otoscope,audiologist,3
"Crown wearer, Tap dancer, One who gets dressed up. Stuffed full of cotton, Sometimes forgotten, When its owner grows up. Most often furry, Most often soft, Based on Roosevelt. Can you, pray tell, What I am?",stuffed animal,teddy bear,pillow,plush toy,tissue box,1
"What familiar word starts with IS, ends with AND, and has LA in the middle.",shipwreck,coast,boat,island,ocean,3
I bring you power. I steal your secrets. I give you air. What am I?,flower,vegetable,greenhouse,sunflower,plant,4
"I'm easy to spot, If you can feel me, Ill probably be hot, I'm the reason you can see, Without me, daylight would not be.",sun,contradictory,light,weird,darkness,2
When it's dirty this should never be aired in public.,dryer,shoulder,washer,pillow,laundry,4
Men in skirts blow into these.,tuba,kilt,electric guitar,flute,bagpipes,4
"What takes a part of your soul, but reflects you truly?",selfie,self-portrait,gorgeous,temperature,photograph,4
"My 5, 8, 9, 3, 2, 1 is a color or a name. My 3, 2, 5, 4, 3 is a tier. My 7, 1, 9, 10, 4 is an alternative to rock. My 6, 10, 1, 9 is to be interested. My 7, 6, 4, 5, 2 is a colander. My whole is closely watched by many.",Soap operas,sitcoms,entertainment,radio,television,4
